cohort_definition_id,cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
11,Denominator cohort 11,221,221,3,Missing sex,0,0
11,Denominator cohort 11,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
11,Denominator cohort 11,147,147,5,No observation time available during study period,74,74
11,Denominator cohort 11,147,147,6,Doesn't satisfy age criteria during the study period,0,0
11,Denominator cohort 11,118,118,7,Prior history requirement not fulfilled during study period,29,29
11,Denominator cohort 11,107,107,8,Not Female,11,11
11,Denominator cohort 11,40,40,10,No observation time available after applying age and prior history criteria,67,67
12,Denominator cohort 12,221,221,1,Starting population,NA,NA
12,Denominator cohort 12,221,221,2,Missing year of birth,0,0
12,Denominator cohort 12,221,221,3,Missing sex,0,0
12,Denominator cohort 12,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
12,Denominator cohort 12,147,147,5,No observation time available during study period,74,74
12,Denominator cohort 12,147,147,6,Doesn't satisfy age criteria during the study period,0,0
12,Denominator cohort 12,118,118,7,Prior history requirement not fulfilled during study period,29,29
12,Denominator cohort 12,11,11,8,Not Male,107,107
12,Denominator cohort 12,5,5,10,No observation time available after applying age and prior history criteria,6,6
13,Denominator cohort 13,221,221,1,Starting population,NA,NA
13,Denominator cohort 13,221,221,2,Missing year of birth,0,0
13,Denominator cohort 13,221,221,3,Missing sex,0,0
13,Denominator cohort 13,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
13,Denominator cohort 13,147,147,5,No observation time available during study period,74,74
13,Denominator cohort 13,147,147,6,Doesn't satisfy age criteria during the study period,0,0
13,Denominator cohort 13,118,118,7,Prior history requirement not fulfilled during study period,29,29
13,Denominator cohort 13,5,5,10,No observation time available after applying age and prior history criteria,113,113
14,Denominator cohort 14,221,221,1,Starting population,NA,NA
14,Denominator cohort 14,221,221,2,Missing year of birth,0,0
14,Denominator cohort 14,221,221,3,Missing sex,0,0
14,Denominator cohort 14,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
14,Denominator cohort 14,147,147,5,No observation time available during study period,74,74
14,Denominator cohort 14,147,147,6,Doesn't satisfy age criteria during the study period,0,0
14,Denominator cohort 14,118,118,7,Prior history requirement not fulfilled during study period,29,29
14,Denominator cohort 14,107,107,8,Not Female,11,11
14,Denominator cohort 14,5,5,10,No observation time available after applying age and prior history criteria,102,102
15,Denominator cohort 15,221,221,1,Starting population,NA,NA
15,Denominator cohort 15,221,221,2,Missing year of birth,0,0
15,Denominator cohort 15,221,221,3,Missing sex,0,0
15,Denominator cohort 15,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
15,Denominator cohort 15,147,147,5,No observation time available during study period,74,74
15,Denominator cohort 15,147,147,6,Doesn't satisfy age criteria during the study period,0,0
15,Denominator cohort 15,118,118,7,Prior history requirement not fulfilled during study period,29,29
15,Denominator cohort 15,11,11,8,Not Male,107,107
15,Denominator cohort 15,0,0,10,No observation time available after applying age and prior history criteria,11,11
16,Denominator cohort 16,221,221,1,Starting population,NA,NA
16,Denominator cohort 16,221,221,2,Missing year of birth,0,0
16,Denominator cohort 16,221,221,3,Missing sex,0,0
16,Denominator cohort 16,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
16,Denominator cohort 16,147,147,5,No observation time available during study period,74,74
16,Denominator cohort 16,147,147,6,Doesn't satisfy age criteria during the study period,0,0
16,Denominator cohort 16,118,118,7,Prior history requirement not fulfilled during study period,29,29
16,Denominator cohort 16,118,118,10,No observation time available after applying age and prior history criteria,0,0
17,Denominator cohort 17,221,221,1,Starting population,NA,NA
17,Denominator cohort 17,221,221,2,Missing year of birth,0,0
17,Denominator cohort 17,221,221,3,Missing sex,0,0
17,Denominator cohort 17,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
17,Denominator cohort 17,147,147,5,No observation time available during study period,74,74
17,Denominator cohort 17,147,147,6,Doesn't satisfy age criteria during the study period,0,0
17,Denominator cohort 17,118,118,7,Prior history requirement not fulfilled during study period,29,29
17,Denominator cohort 17,107,107,8,Not Female,11,11
17,Denominator cohort 17,107,107,10,No observation time available after applying age and prior history criteria,0,0
18,Denominator cohort 18,221,221,1,Starting population,NA,NA
18,Denominator cohort 18,221,221,2,Missing year of birth,0,0
18,Denominator cohort 18,221,221,3,Missing sex,0,0
18,Denominator cohort 18,221,221,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
18,Denominator cohort 18,147,147,5,No observation time available during study period,74,74
18,Denominator cohort 18,147,147,6,Doesn't satisfy age criteria during the study period,0,0
18,Denominator cohort 18,118,118,7,Prior history requirement not fulfilled during study period,29,29
18,Denominator cohort 18,11,11,8,Not Male,107,107
18,Denominator cohort 18,11,11,10,No observation time available after applying age and prior history criteria,0,0
