group_name,group_level,strata_name,strata_level,variable,variable_level,variable_type,estimate_type,estimate,cdm_name
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,diabetes_minf_to_0,NA,binary,count,2899,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,diabetes_minf_to_0,NA,binary,%,19.0648428252006,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,diuretics_m365_to_0,NA,binary,count,2952,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,diuretics_m365_to_0,NA,binary,%,19.4133894515323,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,drugs_acid_related_disorder_m365_to_0,NA,binary,count,4438,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,drugs_acid_related_disorder_m365_to_0,NA,binary,%,29.1858476917006,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,drugs_for_obstructive_airway_diseases_m365_to_0,NA,binary,count,3832,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,drugs_for_obstructive_airway_diseases_m365_to_0,NA,binary,%,25.2005787189267,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,drugs_used_in_diabetes_m365_to_0,NA,binary,count,2263,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,drugs_used_in_diabetes_m365_to_0,NA,binary,%,14.88228330922,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,gerd_minf_to_0,NA,binary,count,4415,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,gerd_minf_to_0,NA,binary,%,29.0345916085756,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,heart_failure_minf_to_0,NA,binary,count,970,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,heart_failure_minf_to_0,NA,binary,%,6.37906089701434,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,hiv_minf_to_0,NA,binary,count,22,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,hiv_minf_to_0,NA,binary,%,0.144679731684861,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,hormonal_contraceptices_systemic_m365_to_0,NA,binary,count,944,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,hormonal_contraceptices_systemic_m365_to_0,NA,binary,%,6.20807575956859,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,hypertension_minf_to_0,NA,binary,count,7660,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,hypertension_minf_to_0,NA,binary,%,50.3748520320926,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,hypothyroidism_minf_to_0,NA,binary,count,2964,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,hypothyroidism_minf_to_0,NA,binary,%,19.4923056688149,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,immunosupressants_m365_to_0,NA,binary,count,15206,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,immunosupressants_m365_to_0,NA,binary,%,100,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,infertility_minf_to_0,NA,binary,count,100,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,infertility_minf_to_0,NA,binary,%,0.657635144022097,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,inflammatory_bowel_disease_minf_to_0,NA,binary,count,699,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,inflammatory_bowel_disease_minf_to_0,NA,binary,%,4.59686965671446,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,lipid_modifying_agents_m365_to_0,NA,binary,count,4802,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,lipid_modifying_agents_m365_to_0,NA,binary,%,31.5796396159411,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,malaria_minf_to_0,NA,binary,count,<5,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,malaria_minf_to_0,NA,binary,%,0.00657635144022097,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,malignant_neoplastic_disease_minf_to_0,NA,binary,count,2536,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,malignant_neoplastic_disease_minf_to_0,NA,binary,%,16.6776272524004,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,myocardial_infarction_minf_to_0,NA,binary,count,281,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,myocardial_infarction_minf_to_0,NA,binary,%,1.84795475470209,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,number_visits,NA,numeric,median,1,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,number_visits,NA,numeric,q25,1,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,number_visits,NA,numeric,q75,1,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,opioids_m365_to_0,NA,binary,count,4319,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,opioids_m365_to_0,NA,binary,%,28.4032618703143,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,osteoporosis_minf_to_0,NA,binary,count,1853,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,osteoporosis_minf_to_0,NA,binary,%,12.1859792187294,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,pneumonia_minf_to_0,NA,binary,count,1175,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,pneumonia_minf_to_0,NA,binary,%,7.72721294225963,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,psycholeptics_m365_to_0,NA,binary,count,4420,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,psycholeptics_m365_to_0,NA,binary,%,29.0674733657767,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,psychostimulants_m365_to_0,NA,binary,count,503,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,psychostimulants_m365_to_0,NA,binary,%,3.30790477443115,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,rheumatoid_arthritis_minf_to_0,NA,binary,count,7299,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,rheumatoid_arthritis_minf_to_0,NA,binary,%,48.0007891621728,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,stroke_minf_to_0,NA,binary,count,384,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,stroke_minf_to_0,NA,binary,%,2.52531895304485,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,venous_thromboembolism_minf_to_0,NA,binary,count,509,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,venous_thromboembolism_minf_to_0,NA,binary,%,3.34736288307247,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age_group,0 to 19,categorical,count,511,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age_group,0 to 19,categorical,%,3.36051558595291,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age_group,20 to 39,categorical,count,1938,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age_group,20 to 39,categorical,%,12.7449690911482,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age_group,40 to 59,categorical,count,5344,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age_group,40 to 59,categorical,%,35.1440220965408,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age_group,60 to 79,categorical,count,6232,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age_group,60 to 79,categorical,%,40.9838221754571,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age_group,80 to 150,categorical,count,1181,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,age_group,80 to 150,categorical,%,7.76667105090096,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,indication,covid,categorical,count,96,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,indication,covid,categorical,%,0.631329738261213,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,indication,malaria,categorical,count,<5,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,indication,malaria,categorical,%,0.00657635144022097,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,indication,multiple,categorical,count,96,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,indication,multiple,categorical,%,0.631329738261213,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,indication,none,categorical,count,7803,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,indication,none,categorical,%,51.3152702880442,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,indication,rheumatoid_arthritis,categorical,count,7210,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,indication,rheumatoid_arthritis,categorical,%,47.4154938839932,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,sex,Female,categorical,count,10590,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,sex,Female,categorical,%,69.64356175194,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,sex,Male,categorical,count,4616,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,sex,Male,categorical,%,30.35643824806,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,window,after_fda_retraction,categorical,count,15206,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,window,after_fda_retraction,categorical,%,100,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,window,before_pandemic,categorical,count,0,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,window,before_pandemic,categorical,%,0,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,window,during_hcq_use_for_covid,categorical,count,0,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,after_fda_retraction,window,during_hcq_use_for_covid,categorical,%,0,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,number subjects,NA,NA,count,18770,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,number records,NA,NA,count,18770,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,age,NA,numeric,median,59,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,age,NA,numeric,q25,48,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,age,NA,numeric,q75,68,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,future_observation,NA,numeric,median,793,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,future_observation,NA,numeric,q25,293,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,future_observation,NA,numeric,q75,1092,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,prior_history,NA,numeric,median,730,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,prior_history,NA,numeric,q25,730,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,prior_history,NA,numeric,q75,874,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,cohort_end_date,NA,date,median,2019-09-26,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,cohort_end_date,NA,date,q25,2019-05-05,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,cohort_end_date,NA,date,q75,2020-03-10,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,cohort_start_date,NA,date,median,2019-03-13,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,cohort_start_date,NA,date,q25,2019-01-01,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,cohort_start_date,NA,date,q75,2019-08-15,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,agents_acting_on_renin_angiotensin_system_m365_to_0,NA,binary,count,5676,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,agents_acting_on_renin_angiotensin_system_m365_to_0,NA,binary,%,30.2397442727757,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,antibacterials_systemic_m365_to_0,NA,binary,count,10605,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,antibacterials_systemic_m365_to_0,NA,binary,%,56.4997336174747,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,antidepressants_m365_to_0,NA,binary,count,5372,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,antidepressants_m365_to_0,NA,binary,%,28.6201385189132,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,antiepileptics_m365_to_0,NA,binary,count,3814,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,antiepileptics_m365_to_0,NA,binary,%,20.3196590303676,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,antiinflammatory_antirheumatic_agents_m365_to_0,NA,binary,count,13890,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,antiinflammatory_antirheumatic_agents_m365_to_0,NA,binary,%,74.0010655301012,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,antineoplastic_agents_m365_to_0,NA,binary,count,18770,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,antineoplastic_agents_m365_to_0,NA,binary,%,100,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,antithrombotics_m365_to_0,NA,binary,count,2246,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,antithrombotics_m365_to_0,NA,binary,%,11.9659030367608,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,anxiety_minf_to_0,NA,binary,count,4249,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,anxiety_minf_to_0,NA,binary,%,22.6371870005328,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,asthma_minf_to_0,NA,binary,count,2458,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,asthma_minf_to_0,NA,binary,%,13.0953649440597,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,beta_blocking_agents_m365_to_0,NA,binary,count,3860,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,beta_blocking_agents_m365_to_0,NA,binary,%,20.5647309536494,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,calicum_channel_blockers_m365_to_0,NA,binary,count,2779,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,calicum_channel_blockers_m365_to_0,NA,binary,%,14.8055407565264,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,chronic_kidney_disease_minf_to_0,NA,binary,count,1449,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,chronic_kidney_disease_minf_to_0,NA,binary,%,7.71976558337773,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,chronic_liver_disease_minf_to_0,NA,binary,count,1449,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,chronic_liver_disease_minf_to_0,NA,binary,%,7.71976558337773,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,copd_minf_to_0,NA,binary,count,1515,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,copd_minf_to_0,NA,binary,%,8.0713905167821,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,covid_minf_to_0,NA,binary,count,1129,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,covid_minf_to_0,NA,binary,%,6.01491742141716,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,dementia_minf_to_0,NA,binary,count,245,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,dementia_minf_to_0,NA,binary,%,1.30527437400107,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,depressive_disorder_minf_to_0,NA,binary,count,3671,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,depressive_disorder_minf_to_0,NA,binary,%,19.5578050079915,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,diabetes_minf_to_0,NA,binary,count,3184,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,diabetes_minf_to_0,NA,binary,%,16.9632392115077,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,diuretics_m365_to_0,NA,binary,count,3508,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,diuretics_m365_to_0,NA,binary,%,18.6893979754928,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,drugs_acid_related_disorder_m365_to_0,NA,binary,count,5287,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,drugs_acid_related_disorder_m365_to_0,NA,binary,%,28.1672882258924,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,drugs_for_obstructive_airway_diseases_m365_to_0,NA,binary,count,4705,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,drugs_for_obstructive_airway_diseases_m365_to_0,NA,binary,%,25.0665956313266,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,drugs_used_in_diabetes_m365_to_0,NA,binary,count,2556,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,drugs_used_in_diabetes_m365_to_0,NA,binary,%,13.6174746936601,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,gerd_minf_to_0,NA,binary,count,4643,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,gerd_minf_to_0,NA,binary,%,24.7362812999467,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,heart_failure_minf_to_0,NA,binary,count,924,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,heart_failure_minf_to_0,NA,binary,%,4.92274906766116,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,hiv_minf_to_0,NA,binary,count,26,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,hiv_minf_to_0,NA,binary,%,0.138518913159297,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,hormonal_contraceptices_systemic_m365_to_0,NA,binary,count,1108,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,hormonal_contraceptices_systemic_m365_to_0,NA,binary,%,5.90303676078849,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,hypertension_minf_to_0,NA,binary,count,9293,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,hypertension_minf_to_0,NA,binary,%,49.5098561534363,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,hypothyroidism_minf_to_0,NA,binary,count,3381,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,hypothyroidism_minf_to_0,NA,binary,%,18.0127863612147,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,immunosupressants_m365_to_0,NA,binary,count,18770,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,immunosupressants_m365_to_0,NA,binary,%,100,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,infertility_minf_to_0,NA,binary,count,86,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,infertility_minf_to_0,NA,binary,%,0.458177943526905,PHARMETRICS
Cohort name,new_users_methotrexate,Calendar time,before_pandemic,inflammatory_bowel_disease_minf_to_0,NA,binary,count,813,PHARMETRICS
