cohort_definition_id,age_group,sex,days_prior_history,start_date,end_date,strata_cohort_definition_id,strata_cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
3,0;19,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
3,0;19,Male,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
3,0;19,Male,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
3,0;19,Male,365,2019-01-01,2022-06-01,2,malaria,11666,11666,8,Not Male,13952,13952
3,0;19,Male,365,2019-01-01,2022-06-01,2,malaria,2096,2096,10,No observation time available after applying age and prior history criteria,9570,9570
4,20;39,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
4,20;39,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
4,20;39,Both,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
4,20;39,Both,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
4,20;39,Both,365,2019-01-01,2022-06-01,2,malaria,6486,6486,10,No observation time available after applying age and prior history criteria,19132,19132
5,20;39,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
5,20;39,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
5,20;39,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
5,20;39,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
5,20;39,Female,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
5,20;39,Female,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
5,20;39,Female,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
5,20;39,Female,365,2019-01-01,2022-06-01,2,malaria,13952,13952,8,Not Female,11666,11666
5,20;39,Female,365,2019-01-01,2022-06-01,2,malaria,3728,3728,10,No observation time available after applying age and prior history criteria,10224,10224
6,20;39,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
6,20;39,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
6,20;39,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
6,20;39,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
6,20;39,Male,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
6,20;39,Male,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
6,20;39,Male,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
6,20;39,Male,365,2019-01-01,2022-06-01,2,malaria,11666,11666,8,Not Male,13952,13952
6,20;39,Male,365,2019-01-01,2022-06-01,2,malaria,2758,2758,10,No observation time available after applying age and prior history criteria,8908,8908
7,40;59,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
7,40;59,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
7,40;59,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
7,40;59,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
7,40;59,Both,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
7,40;59,Both,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
7,40;59,Both,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
7,40;59,Both,365,2019-01-01,2022-06-01,2,malaria,7899,7899,10,No observation time available after applying age and prior history criteria,17719,17719
8,40;59,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
8,40;59,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
8,40;59,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
8,40;59,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
8,40;59,Female,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
8,40;59,Female,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
8,40;59,Female,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
8,40;59,Female,365,2019-01-01,2022-06-01,2,malaria,13952,13952,8,Not Female,11666,11666
8,40;59,Female,365,2019-01-01,2022-06-01,2,malaria,4262,4262,10,No observation time available after applying age and prior history criteria,9690,9690
9,40;59,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
9,40;59,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
9,40;59,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
9,40;59,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
9,40;59,Male,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
9,40;59,Male,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
9,40;59,Male,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
9,40;59,Male,365,2019-01-01,2022-06-01,2,malaria,11666,11666,8,Not Male,13952,13952
9,40;59,Male,365,2019-01-01,2022-06-01,2,malaria,3637,3637,10,No observation time available after applying age and prior history criteria,8029,8029
10,60;79,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
10,60;79,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
10,60;79,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
10,60;79,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
10,60;79,Both,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
10,60;79,Both,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
10,60;79,Both,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
10,60;79,Both,365,2019-01-01,2022-06-01,2,malaria,6929,6929,10,No observation time available after applying age and prior history criteria,18689,18689
11,60;79,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
11,60;79,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
11,60;79,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
11,60;79,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
11,60;79,Female,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
11,60;79,Female,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
11,60;79,Female,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
11,60;79,Female,365,2019-01-01,2022-06-01,2,malaria,13952,13952,8,Not Female,11666,11666
11,60;79,Female,365,2019-01-01,2022-06-01,2,malaria,3704,3704,10,No observation time available after applying age and prior history criteria,10248,10248
12,60;79,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
12,60;79,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
12,60;79,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
12,60;79,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
12,60;79,Male,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
12,60;79,Male,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
12,60;79,Male,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
12,60;79,Male,365,2019-01-01,2022-06-01,2,malaria,11666,11666,8,Not Male,13952,13952
12,60;79,Male,365,2019-01-01,2022-06-01,2,malaria,3225,3225,10,No observation time available after applying age and prior history criteria,8441,8441
13,80;150,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
13,80;150,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
13,80;150,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
13,80;150,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
13,80;150,Both,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
13,80;150,Both,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
13,80;150,Both,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
13,80;150,Both,365,2019-01-01,2022-06-01,2,malaria,1841,1841,10,No observation time available after applying age and prior history criteria,23777,23777
14,80;150,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
14,80;150,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
14,80;150,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
14,80;150,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
14,80;150,Female,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
14,80;150,Female,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
14,80;150,Female,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
14,80;150,Female,365,2019-01-01,2022-06-01,2,malaria,13952,13952,8,Not Female,11666,11666
14,80;150,Female,365,2019-01-01,2022-06-01,2,malaria,1047,1047,10,No observation time available after applying age and prior history criteria,12905,12905
15,80;150,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
15,80;150,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
15,80;150,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
15,80;150,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
15,80;150,Male,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
15,80;150,Male,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
15,80;150,Male,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
15,80;150,Male,365,2019-01-01,2022-06-01,2,malaria,11666,11666,8,Not Male,13952,13952
15,80;150,Male,365,2019-01-01,2022-06-01,2,malaria,794,794,10,No observation time available after applying age and prior history criteria,10872,10872
16,0;150,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
16,0;150,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
16,0;150,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
16,0;150,Both,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
16,0;150,Both,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
16,0;150,Both,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
16,0;150,Both,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
16,0;150,Both,365,2019-01-01,2022-06-01,2,malaria,25618,25618,10,No observation time available after applying age and prior history criteria,0,0
17,0;150,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
17,0;150,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
17,0;150,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
17,0;150,Female,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
17,0;150,Female,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
17,0;150,Female,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
17,0;150,Female,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
17,0;150,Female,365,2019-01-01,2022-06-01,2,malaria,13952,13952,8,Not Female,11666,11666
17,0;150,Female,365,2019-01-01,2022-06-01,2,malaria,13952,13952,10,No observation time available after applying age and prior history criteria,0,0
18,0;150,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,1,Starting population,NA,NA
18,0;150,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,2,Missing year of birth,0,0
18,0;150,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,3,Missing sex,0,0
18,0;150,Male,365,2019-01-01,2022-06-01,2,malaria,62836,62836,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
18,0;150,Male,365,2019-01-01,2022-06-01,2,malaria,37677,37677,5,No observation time available during study period,25159,25159
18,0;150,Male,365,2019-01-01,2022-06-01,2,malaria,37677,37677,6,Doesn't satisfy age criteria during the study period,0,0
18,0;150,Male,365,2019-01-01,2022-06-01,2,malaria,25618,25618,7,Prior history requirement not fulfilled during study period,12059,12059
18,0;150,Male,365,2019-01-01,2022-06-01,2,malaria,11666,11666,8,Not Male,13952,13952
18,0;150,Male,365,2019-01-01,2022-06-01,2,malaria,11666,11666,10,No observation time available after applying age and prior history criteria,0,0
