cohort_definition_id,cohort_name,number_records,number_subjects,reason_id,reason,excluded_records,excluded_subjects
13,Denominator cohort 13,108,108,7,Prior history requirement not fulfilled during study period,27,27
13,Denominator cohort 13,3,3,10,No observation time available after applying age and prior history criteria,105,105
14,Denominator cohort 14,209,209,1,Starting population,NA,NA
14,Denominator cohort 14,209,209,2,Missing year of birth,0,0
14,Denominator cohort 14,209,209,3,Missing sex,0,0
14,Denominator cohort 14,209,209,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
14,Denominator cohort 14,135,135,5,No observation time available during study period,74,74
14,Denominator cohort 14,135,135,6,Doesn't satisfy age criteria during the study period,0,0
14,Denominator cohort 14,108,108,7,Prior history requirement not fulfilled during study period,27,27
14,Denominator cohort 14,97,97,8,Not Female,11,11
14,Denominator cohort 14,3,3,10,No observation time available after applying age and prior history criteria,94,94
15,Denominator cohort 15,209,209,1,Starting population,NA,NA
15,Denominator cohort 15,209,209,2,Missing year of birth,0,0
15,Denominator cohort 15,209,209,3,Missing sex,0,0
15,Denominator cohort 15,209,209,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
15,Denominator cohort 15,135,135,5,No observation time available during study period,74,74
15,Denominator cohort 15,135,135,6,Doesn't satisfy age criteria during the study period,0,0
15,Denominator cohort 15,108,108,7,Prior history requirement not fulfilled during study period,27,27
15,Denominator cohort 15,11,11,8,Not Male,97,97
15,Denominator cohort 15,0,0,10,No observation time available after applying age and prior history criteria,11,11
16,Denominator cohort 16,209,209,1,Starting population,NA,NA
16,Denominator cohort 16,209,209,2,Missing year of birth,0,0
16,Denominator cohort 16,209,209,3,Missing sex,0,0
16,Denominator cohort 16,209,209,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
16,Denominator cohort 16,135,135,5,No observation time available during study period,74,74
16,Denominator cohort 16,135,135,6,Doesn't satisfy age criteria during the study period,0,0
16,Denominator cohort 16,108,108,7,Prior history requirement not fulfilled during study period,27,27
16,Denominator cohort 16,108,108,10,No observation time available after applying age and prior history criteria,0,0
17,Denominator cohort 17,209,209,1,Starting population,NA,NA
17,Denominator cohort 17,209,209,2,Missing year of birth,0,0
17,Denominator cohort 17,209,209,3,Missing sex,0,0
17,Denominator cohort 17,209,209,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
17,Denominator cohort 17,135,135,5,No observation time available during study period,74,74
17,Denominator cohort 17,135,135,6,Doesn't satisfy age criteria during the study period,0,0
17,Denominator cohort 17,108,108,7,Prior history requirement not fulfilled during study period,27,27
17,Denominator cohort 17,97,97,8,Not Female,11,11
17,Denominator cohort 17,97,97,10,No observation time available after applying age and prior history criteria,0,0
18,Denominator cohort 18,209,209,1,Starting population,NA,NA
18,Denominator cohort 18,209,209,2,Missing year of birth,0,0
18,Denominator cohort 18,209,209,3,Missing sex,0,0
18,Denominator cohort 18,209,209,4,Cannot satisfy age criteria during the study period based on year of birth,0,0
18,Denominator cohort 18,135,135,5,No observation time available during study period,74,74
18,Denominator cohort 18,135,135,6,Doesn't satisfy age criteria during the study period,0,0
18,Denominator cohort 18,108,108,7,Prior history requirement not fulfilled during study period,27,27
18,Denominator cohort 18,11,11,8,Not Male,97,97
18,Denominator cohort 18,11,11,10,No observation time available after applying age and prior history criteria,0,0
