group_name,group_level,strata_name,strata_level,variable,variable_level,variable_type,estimate_type,estimate,cdm_name,generated_by
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_30_none,NA,binary,%,86.7052023121387,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_30_rheumatoid_arthristis_no_covid,NA,binary,count,787,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_30_rheumatoid_arthristis_no_covid,NA,binary,%,3.44631283937642,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_30_rheumatoid_arthritis,NA,binary,count,934,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_30_rheumatoid_arthritis,NA,binary,%,4.09003328078473,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_365_covid,NA,binary,count,2890,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_365_covid,NA,binary,%,12.6554562970748,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_365_malaria,NA,binary,count,3,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_365_malaria,NA,binary,%,0.0131371518654756,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_365_none,NA,binary,count,17557,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_365_none,NA,binary,%,76.8829917673848,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_365_rheumatoid_arthristis_no_covid,NA,binary,count,2099,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_365_rheumatoid_arthristis_no_covid,NA,binary,%,9.19162725521107,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_365_rheumatoid_arthritis,NA,binary,count,2493,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_365_rheumatoid_arthritis,NA,binary,%,10.9169732002102,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_7_covid,NA,binary,count,1904,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_7_covid,NA,binary,%,8.33771238395516,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_7_malaria,NA,binary,count,1,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_7_malaria,NA,binary,%,0.00437905062182519,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_7_none,NA,binary,count,20210,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_7_none,NA,binary,%,88.5006130670871,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_7_rheumatoid_arthristis_no_covid,NA,binary,count,611,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_7_rheumatoid_arthristis_no_covid,NA,binary,%,2.67559992993519,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_7_rheumatoid_arthritis,NA,binary,count,724,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,after_fda_retraction,indication_gap_7_rheumatoid_arthritis,NA,binary,%,3.17043265020144,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,number subjects,NA,NA,count,17245,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,number records,NA,NA,count,17245,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_0_covid,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_0_covid,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_0_malaria,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_0_malaria,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_0_none,NA,binary,count,16907,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_0_none,NA,binary,%,98.0400115975645,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_0_rheumatoid_arthristis_no_covid,NA,binary,count,309,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_0_rheumatoid_arthristis_no_covid,NA,binary,%,1.79182371701943,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_0_rheumatoid_arthritis,NA,binary,count,338,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_0_rheumatoid_arthritis,NA,binary,%,1.95998840243549,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_30_covid,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_30_covid,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_30_malaria,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_30_malaria,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_30_none,NA,binary,count,16637,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_30_none,NA,binary,%,96.4743403885184,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_30_rheumatoid_arthristis_no_covid,NA,binary,count,560,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_30_rheumatoid_arthristis_no_covid,NA,binary,%,3.24731806320673,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_30_rheumatoid_arthritis,NA,binary,count,608,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_30_rheumatoid_arthritis,NA,binary,%,3.52565961148159,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_365_covid,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_365_covid,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_365_malaria,NA,binary,count,2,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_365_malaria,NA,binary,%,0.0115975645114526,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_365_none,NA,binary,count,14945,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_365_none,NA,binary,%,86.6628008118295,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_365_rheumatoid_arthristis_no_covid,NA,binary,count,2144,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_365_rheumatoid_arthristis_no_covid,NA,binary,%,12.4325891562772,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_365_rheumatoid_arthritis,NA,binary,count,2298,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_365_rheumatoid_arthritis,NA,binary,%,13.325601623659,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_7_covid,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_7_covid,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_7_malaria,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_7_malaria,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_7_none,NA,binary,count,16823,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_7_none,NA,binary,%,97.5529138880835,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_7_rheumatoid_arthristis_no_covid,NA,binary,count,388,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_7_rheumatoid_arthristis_no_covid,NA,binary,%,2.2499275152218,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_7_rheumatoid_arthritis,NA,binary,count,422,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,before_pandemic,indication_gap_7_rheumatoid_arthritis,NA,binary,%,2.4470861119165,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,number subjects,NA,NA,count,9565,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,number records,NA,NA,count,9565,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_0_covid,NA,binary,count,94,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_0_covid,NA,binary,%,0.982749607945635,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_0_malaria,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_0_malaria,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_0_none,NA,binary,count,9382,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_0_none,NA,binary,%,98.086774699425,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_0_rheumatoid_arthristis_no_covid,NA,binary,count,85,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_0_rheumatoid_arthristis_no_covid,NA,binary,%,0.888656560376372,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_0_rheumatoid_arthritis,NA,binary,count,89,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_0_rheumatoid_arthritis,NA,binary,%,0.930475692629378,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_30_covid,NA,binary,count,391,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_30_covid,NA,binary,%,4.08782017773131,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_30_malaria,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_30_malaria,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_30_none,NA,binary,count,9003,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_30_none,NA,binary,%,94.1244119184527,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_30_rheumatoid_arthristis_no_covid,NA,binary,count,165,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_30_rheumatoid_arthristis_no_covid,NA,binary,%,1.72503920543649,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_30_rheumatoid_arthritis,NA,binary,count,171,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_30_rheumatoid_arthritis,NA,binary,%,1.787767903816,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_365_covid,NA,binary,count,393,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_365_covid,NA,binary,%,4.10872974385781,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_365_malaria,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_365_malaria,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_365_none,NA,binary,count,8603,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_365_none,NA,binary,%,89.9424986931521,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_365_rheumatoid_arthristis_no_covid,NA,binary,count,521,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_365_rheumatoid_arthristis_no_covid,NA,binary,%,5.446941975954,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_365_rheumatoid_arthritis,NA,binary,count,571,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_365_rheumatoid_arthritis,NA,binary,%,5.96968112911657,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_7_covid,NA,binary,count,346,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_7_covid,NA,binary,%,3.617354939885,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_7_malaria,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_7_malaria,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_7_none,NA,binary,count,9088,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_7_none,NA,binary,%,95.0130684788291,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_7_rheumatoid_arthristis_no_covid,NA,binary,count,125,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_7_rheumatoid_arthristis_no_covid,NA,binary,%,1.30684788290643,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_7_rheumatoid_arthritis,NA,binary,count,131,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Calendar time,during_hcq_use_for_covid,indication_gap_7_rheumatoid_arthritis,NA,binary,%,1.36957658128594,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,number subjects,NA,NA,count,2453,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,number records,NA,NA,count,2453,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_0_covid,NA,binary,count,1177,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_0_covid,NA,binary,%,47.9820627802691,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_0_malaria,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_0_malaria,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_0_none,NA,binary,count,1276,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_0_none,NA,binary,%,52.0179372197309,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_0_rheumatoid_arthristis_no_covid,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_0_rheumatoid_arthristis_no_covid,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_0_rheumatoid_arthritis,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_0_rheumatoid_arthritis,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_30_covid,NA,binary,count,2410,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_30_covid,NA,binary,%,98.2470444353852,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_30_malaria,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_30_malaria,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_30_none,NA,binary,count,43,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_30_none,NA,binary,%,1.75295556461476,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_30_rheumatoid_arthristis_no_covid,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_30_rheumatoid_arthristis_no_covid,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_30_rheumatoid_arthritis,NA,binary,count,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_30_rheumatoid_arthritis,NA,binary,%,0,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_365_covid,NA,binary,count,2453,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
Cohort name,new_users_hydroxychloroquine,Indication,covid,indication_gap_365_covid,NA,binary,%,100,PHARMETRICS,DrugUtilisation_0.2.1_summariseIndication
